Ticker,Date/Time,vni_close,vni_high,vni_low,vni_pct_chg,vni_rsi,basis_pct,advance,decline,ceiling,floor,total_stocks,above_ma50,ema_cross,volume,parkinson_vol,vol_ratio,ad_ratio,thrust_pct
VNINDEX,8/20/2020 0:00,848.2,857,847.4,-0.35,54.7,-0.14,5,20,0,0,32,22,22,232.01,0.56,0.9,0.25,0
VNINDEX,8/21/2020 0:00,854.8,856.5,849.7,0.77,59.5,-0.09,26,2,0,0,32,25,25,262.79,0.56,1.06,13,0
VNINDEX,8/24/2020 0:00,868.7,868.7,860.3,1.63,67.5,0.72,30,1,1,0,32,28,28,345.73,0.57,1.4,30,3.13
VNINDEX,8/25/2020 0:00,874.1,877.6,870.9,0.63,70.1,-0.27,17,10,1,0,32,29,29,342.45,0.57,1.38,1.7,3.13
VNINDEX,8/26/2020 0:00,873.5,877,871.8,-0.07,69.3,0.1,11,18,0,0,32,28,29,320.82,0.56,1.29,0.61,0
VNINDEX,8/27/2020 0:00,874.7,875.7,871.9,0.14,70,0.55,18,7,0,0,32,28,29,279.11,0.56,1.09,2.57,0
VNINDEX,8/28/2020 0:00,879,885.9,877.7,0.49,72.3,0.13,19,6,0,0,32,29,29,328.74,0.52,1.26,3.17,0
VNINDEX,8/31/2020 0:00,881.7,888.4,879.3,0.3,73.7,0.02,16,15,0,0,32,30,30,333.31,0.5,1.26,1.07,0
VNINDEX,9/1/2020 0:00,891.7,892.5,880.8,1.14,78.3,0.65,25,4,0,0,32,31,31,285.41,0.55,1.07,6.25,0
VNINDEX,9/3/2020 0:00,904,904.3,896.3,1.37,82.4,0.75,28,1,0,0,32,31,31,323.22,0.55,1.2,28,0
VNINDEX,9/4/2020 0:00,901.5,903.1,893.9,-0.27,79.1,0.51,6,24,0,0,32,31,31,316.18,0.54,1.15,0.25,0
VNINDEX,9/7/2020 0:00,888.3,905.8,888.3,-1.47,63.5,-0.32,2,28,0,0,32,31,31,382.82,0.64,1.36,0.07,0
VNINDEX,9/8/2020 0:00,890.1,894.6,884.9,0.21,64.6,0.23,21,7,0,0,32,30,31,266.88,0.65,0.95,3,0
VNINDEX,9/9/2020 0:00,889.3,892.4,881.6,-0.09,63.7,0.68,12,18,0,0,32,29,30,282.23,0.67,0.99,0.67,0
VNINDEX,9/10/2020 0:00,888.8,896.8,888.8,-0.06,63.1,-0.28,11,11,0,0,32,29,30,283.02,0.69,0.99,1,0
VNINDEX,9/11/2020 0:00,889,891,884.7,0.02,63.2,0.28,13,17,0,0,32,30,30,269.59,0.69,0.94,0.76,0
VNINDEX,9/14/2020 0:00,894.6,895.3,891.9,0.63,67.5,0.21,21,7,0,0,32,30,30,318.77,0.68,1.1,3,0
VNINDEX,9/15/2020 0:00,896.3,898.7,894.7,0.19,68.7,-0.04,14,15,0,0,32,30,29,343.36,0.65,1.16,0.93,0
VNINDEX,9/16/2020 0:00,897.5,897.6,894.6,0.14,69.6,0.01,12,11,0,0,32,30,29,262.87,0.6,0.88,1.09,0
VNINDEX,9/17/2020 0:00,894,899.4,890.9,-0.38,63.8,-0.1,7,20,0,0,32,29,28,371.11,0.61,1.21,0.35,0
VNINDEX,9/18/2020 0:00,901,902.1,895.8,0.77,69.5,0.6,28,0,0,0,32,30,28,303.73,0.59,0.98,28,0
VNINDEX,9/21/2020 0:00,907.9,909.8,904.5,0.78,74.1,-0.42,25,4,0,0,32,30,29,349.43,0.47,1.11,6.25,0
VNINDEX,9/22/2020 0:00,906.2,909.7,902.5,-0.19,71.1,-0.32,17,12,1,0,32,30,30,367.75,0.45,1.16,1.42,3.13
VNINDEX,9/23/2020 0:00,912.5,913.5,909,0.7,75.2,-0.49,22,8,0,0,32,30,30,324.67,0.4,1.03,2.75,0
